;pid;fd;familia;tipo;laddr;status
120;10200;-1;2;1;addr(ip='0.0.0.0', port=5040);LISTEN
121;10548;-1;2;1;addr(ip='10.18.32.112', port=65162);ESTABLISHED
122;0;-1;2;1;addr(ip='127.0.0.1', port=49671);TIME_WAIT
123;0;-1;2;1;addr(ip='127.0.0.1', port=53549);TIME_WAIT
124;0;-1;2;1;addr(ip='127.0.0.1', port=50654);TIME_WAIT
125;42404;-1;2;1;addr(ip='127.0.0.1', port=61414);FIN_WAIT2
126;4;-1;2;2;addr(ip='169.254.72.50', port=137);NONE
127;0;-1;2;1;addr(ip='127.0.0.1', port=57255);TIME_WAIT
128;0;-1;2;1;addr(ip='127.0.0.1', port=61394);TIME_WAIT
129;0;-1;2;1;addr(ip='127.0.0.1', port=53560);TIME_WAIT
130;0;-1;2;1;addr(ip='127.0.0.1', port=61389);TIME_WAIT
131;0;-1;2;1;addr(ip='127.0.0.1', port=61383);TIME_WAIT
132;0;-1;2;1;addr(ip='127.0.0.1', port=49682);TIME_WAIT
133;42404;-1;2;1;addr(ip='127.0.0.1', port=61415);FIN_WAIT2
134;0;-1;2;1;addr(ip='127.0.0.1', port=50656);TIME_WAIT
135;0;-1;2;1;addr(ip='127.0.0.1', port=49687);TIME_WAIT
136;0;-1;2;1;addr(ip='10.18.32.112', port=57453);TIME_WAIT
137;13012;-1;2;2;addr(ip='127.0.0.1', port=60348);NONE
138;42404;-1;2;1;addr(ip='127.0.0.1', port=61408);FIN_WAIT2
139;13012;-1;23;2;addr(ip='fe80::7c71:afda:3569:154e', port=1900);NONE
140;2800;-1;2;1;addr(ip='127.0.0.1', port=49708);ESTABLISHED
141;42404;-1;2;1;addr(ip='127.0.0.1', port=49350);CLOSE_WAIT
142;1168;-1;23;1;addr(ip='::', port=49680);LISTEN
143;4;-1;2;2;addr(ip='169.254.72.50', port=138);NONE
144;3456;-1;2;1;addr(ip='0.0.0.0', port=49669);LISTEN
145;0;-1;2;1;addr(ip='127.0.0.1', port=49685);TIME_WAIT
146;0;-1;2;1;addr(ip='127.0.0.1', port=49667);TIME_WAIT
147;0;-1;2;1;addr(ip='127.0.0.1', port=61399);TIME_WAIT
148;42404;-1;2;1;addr(ip='127.0.0.1', port=61411);FIN_WAIT2
149;5952;-1;23;1;addr(ip='::', port=33060);LISTEN
150;42404;-1;2;1;addr(ip='127.0.0.1', port=61410);FIN_WAIT2
151;0;-1;2;1;addr(ip='127.0.0.1', port=50653);TIME_WAIT
152;4680;-1;2;1;addr(ip='127.0.0.1', port=24830);LISTEN
153;0;-1;2;1;addr(ip='127.0.0.1', port=53553);TIME_WAIT
154;4;-1;2;1;addr(ip='10.18.32.112', port=139);LISTEN
155;4816;-1;2;1;addr(ip='127.0.0.1', port=61898);ESTABLISHED
156;0;-1;2;1;addr(ip='127.0.0.1', port=53557);TIME_WAIT
157;5952;-1;23;1;addr(ip='::1', port=3306);ESTABLISHED
158;13012;-1;23;2;addr(ip='fe80::7c71:afda:3569:154e', port=60343);NONE
159;42404;-1;2;1;addr(ip='127.0.0.1', port=49350);CLOSE_WAIT
160;25188;-1;23;2;addr(ip='fe80::7c71:afda:3569:154e', port=2177);NONE
161;13012;-1;2;2;addr(ip='169.254.72.50', port=1900);NONE
162;4740;-1;2;1;addr(ip='10.18.32.112', port=61398);SYN_SENT
163;4;-1;23;1;addr(ip='::', port=445);LISTEN
164;4;-1;2;1;addr(ip='127.0.0.1', port=28390);LISTEN
165;0;-1;2;1;addr(ip='127.0.0.1', port=61402);TIME_WAIT
166;5952;-1;2;1;addr(ip='127.0.0.1', port=49678);ESTABLISHED
167;17692;-1;23;1;addr(ip='::1', port=42050);LISTEN
168;0;-1;2;1;addr(ip='127.0.0.1', port=53554);TIME_WAIT
169;1044;-1;23;1;addr(ip='::', port=49665);LISTEN
170;13012;-1;23;2;addr(ip='::1', port=1900);NONE
171;13012;-1;2;2;addr(ip='10.18.32.112', port=60347);NONE
172;0;-1;2;1;addr(ip='127.0.0.1', port=49681);TIME_WAIT
173;5192;-1;2;1;addr(ip='10.18.32.112', port=50294);ESTABLISHED
174;13012;-1;23;2;addr(ip='::1', port=60345);NONE
175;1528;-1;23;1;addr(ip='::', port=135);LISTEN
