,fk_servidor,nomeMaquina,timestamp,cpu,ram,disco,temperatura_cpu,temperatura_disco,memoria_swap,quantidade_processos,donwload_bytes,upload_bytes,pacotes_recebidos,pacotes_enviados,dropin,dropout,numero_leituras,numero_escritas,bytes_lidos,bytes_escritos,tempo_leitura,tempo_escrita
0,11,DESKTOP-G2ODTKO,2025-11-21 09:53:39,4.7,86.3,17.4,50.75,35.17,1146.5,295,177771399,386683623,326207,208861,0,0,4350183,4743711,162135940096,113107301888,4924,13230
1,11,DESKTOP-G2ODTKO,2025-11-21 09:53:43,4.1,86.4,17.4,49.69,34.64,1146.5,294,177807910,386686145,326458,208901,0,0,4350197,4743848,162136333312,113108612608,4924,13230
2,11,DESKTOP-G2ODTKO,2025-11-21 09:53:47,3.6,86.4,17.4,44.39,36.13,1146.5,294,177864577,386690431,326761,208943,0,0,4350209,4743943,162136697856,113110275584,4924,13230
3,11,DESKTOP-G2ODTKO,2025-11-21 09:53:51,4.1,86.4,17.4,44.28,35.86,1146.5,294,177885005,386692800,326927,208986,0,0,4350220,4744008,162137029632,113110734336,4924,13230
