;timestamp;processo;pid;cpu;ram
76;2025-10-14 14:12:27;kworker/R-scsi_tmf_1;209;0.0;0.0
77;2025-10-14 14:12:27;kworker/R-nvme-wq;210;0.0;0.0
78;2025-10-14 14:12:27;kworker/R-nvme-reset-wq;211;0.0;0.0
79;2025-10-14 14:12:27;kworker/R-nvme-delete-wq;212;0.0;0.0
80;2025-10-14 14:12:27;kworker/R-nvme-auth-wq;213;0.0;0.0
81;2025-10-14 14:12:27;jbd2/nvme0n1p2-8;250;0.0;0.0
82;2025-10-14 14:12:27;kworker/R-ext4-rsv-conversion;251;0.0;0.0
83;2025-10-14 14:12:27;systemd-journald;302;0.0;0.1864
84;2025-10-14 14:12:27;systemd-udevd;395;0.0;0.0717
85;2025-10-14 14:12:27;psimon;397;0.0;0.0
86;2025-10-14 14:12:27;systemd-oomd;578;0.0;0.0912
87;2025-10-14 14:12:27;systemd-resolved;587;0.0;0.1301
88;2025-10-14 14:12:27;systemd-timesyncd;589;0.0;0.095
89;2025-10-14 14:12:27;kworker/R-cfg80211;686;0.0;0.0
90;2025-10-14 14:12:27;kworker/R-cryptd;704;0.0;0.0
91;2025-10-14 14:12:27;irq/157-iwlwifi:default_queue;706;0.0;0.0
92;2025-10-14 14:12:27;irq/158-iwlwifi:queue_1;708;0.0;0.0
93;2025-10-14 14:12:27;irq/159-iwlwifi:queue_2;711;0.0;0.0
94;2025-10-14 14:12:27;irq/160-iwlwifi:queue_3;712;0.0;0.0
95;2025-10-14 14:12:27;irq/161-iwlwifi:queue_4;713;0.0;0.0
96;2025-10-14 14:12:27;irq/162-iwlwifi:exception;714;0.0;0.0
97;2025-10-14 14:12:27;kworker/R-ttm;781;0.0;0.0
98;2025-10-14 14:12:27;card1-crtc0;804;0.0;0.0
99;2025-10-14 14:12:27;card1-crtc1;805;0.0;0.0
100;2025-10-14 14:12:27;card1-crtc2;806;0.0;0.0
101;2025-10-14 14:12:27;card1-crtc3;807;0.0;0.0
102;2025-10-14 14:12:27;avahi-daemon;877;0.0;0.0544
103;2025-10-14 14:12:27;bluetoothd;878;0.0;0.0691
104;2025-10-14 14:12:27;dbus-daemon;879;0.0;0.0889
105;2025-10-14 14:12:27;gnome-remote-desktop-daemon;882;0.0;0.1689
106;2025-10-14 14:12:27;polkitd;886;0.0;0.1566
107;2025-10-14 14:12:27;power-profiles-daemon;889;0.0;0.1033
108;2025-10-14 14:12:27;snapd;903;0.0;0.3397
109;2025-10-14 14:12:27;accounts-daemon;904;0.0;0.1033
110;2025-10-14 14:12:27;cron;905;0.0;0.0337
111;2025-10-14 14:12:27;switcheroo-control;907;0.0;0.086
112;2025-10-14 14:12:27;systemd-logind;926;0.0;0.1091
113;2025-10-14 14:12:27;thermald;927;0.0;0.1333
114;2025-10-14 14:12:27;udisksd;928;0.0;0.1375
115;2025-10-14 14:12:27;NetworkManager;956;0.0;0.2048
116;2025-10-14 14:12:27;wpa_supplicant;957;0.0;0.1009
117;2025-10-14 14:12:27;avahi-daemon;958;0.0;0.0142
118;2025-10-14 14:12:27;rsyslogd;972;0.0;0.0639
119;2025-10-14 14:12:27;ModemManager;1037;0.0;0.1037
120;2025-10-14 14:12:27;irq/164-AudioDSP;1080;0.0;0.0
121;2025-10-14 14:12:27;kworker/R-iprt-VBoxWQueue;1679;0.0;0.0
122;2025-10-14 14:12:27;iprt-VBoxTscThread;1691;0.0;0.0
123;2025-10-14 14:12:27;cupsd;1746;0.0;0.13
124;2025-10-14 14:12:27;unattended-upgr;1754;0.0;0.1022
125;2025-10-14 14:12:27;gdm3;1795;0.0;0.1126
126;2025-10-14 14:12:27;mysqld;1824;0.0;0.9168
127;2025-10-14 14:12:27;psimon;1827;0.0;0.0
128;2025-10-14 14:12:27;rtkit-daemon;1925;0.0;0.0417
129;2025-10-14 14:12:27;krfcommd;2032;0.0;0.0
130;2025-10-14 14:12:27;colord;2072;0.0;0.1335
131;2025-10-14 14:12:27;upowerd;2113;0.0;0.1303
132;2025-10-14 14:12:27;cups-browsed;2474;0.0;0.1958
